"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_real_Offroad_02_Wheel0","M1025 Humvee Wheel","M1025 Humvee Wheel","Kolo M1025 Humvee","M1025 Humvee Reifen","Колесо M1025 Humvee","Koło od M1025 Humvee","M1025 Humvee Wheel","Ruota M1025 Humvee","Rueda de M1025 Humvee","Roue de M1025 Humvee","M1025 Humvee 車輪","M1025 Humvee 車輪","Roda M1025 Humvee","M1025 Humvee 车轮",
"STR_real_Offroad_02_Wheel1","Wheel of the M1025 Humvee. The tire pattern suggests that it's mainly designed for off-road.","Wheel of the M1025 Humvee. The tire pattern suggests that it's mainly designed for off-road.","Kolo vozidla M1025 Humvee. Podle vzorku pneumatiky je určené především do terénu.","Reifen für den M1025 Humvee. Das Profil ist auf Offroad-Performance ausgelegt.","Колесо M1025 Humvee. Рисунок протектора говорит о том, что автомобиль в основном предназначен для бездорожья.","Koło od M1025 Humvee. Bieżnik opony wskazuje na to, że jest ona przystosowana do jazdy terenowej.","Wheel of the M1025 Humvee. The tire pattern suggests that it's mainly designed for off-road.","Una ruota dell’M1025 Humvee. Pneumatico con battistrada concepito principalmente per prestazioni fuoristrada.","Rueda de M1025 Humvee. El dibujo del neumático lleva a pensar que está concebido para uso todoterreno.","Une roue pour M1025 Humvee. Le dessin du pneu améliore l'adhérence du véhicule en terrain accidenté.","M1025 Humvee 的車輪，輪胎紋理專為越野行駛設計。","M1025 Humvee の車輪。そのタイヤの模様を見ると、主にオフロード用に設計されている。","Roda do M1025 Humvee. O padrão dos pneus sugere que ela foi projetada principalmente para off-road.","M1025 Humvee 的车轮，轮胎花纹表明，它主要为越野行驶而设计。",
"STR_real_Offroad_02_Door_1_10","M1025 Humvee Front Left Door","M1025 Humvee Front Left Door","Levé přední dveře M1025 Humvee","M1025 Humvee Tür vorne links","Передняя левая дверь M1025 Humvee","Przednie lewe drzwi od M1025 Humvee","M1025 Humvee Front Left Door","Portiera anteriore sinistra M1025 Humvee","Puerta izquierda delantera de M1025 Humvee","Portière AVG de M1025 Humvee","M1025 Humvee 左前門","M1025 Humvee 左前のドア","Porta dianteira esquerda M1025 Humvee","M1025 Humvee 左前车门",
"STR_real_Offroad_02_Door_1_11","Front left door of the M1025 Humvee. Keeps the driver safe inside the vehicle.","Front left door of the M1025 Humvee. Keeps the driver safe inside the vehicle.","Levé přední dveře vozidla M1025 Humvee. Chrání řidiče sedícího v kabině.","Linke Vordertür des M1025 Humvee. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь M1025 Humvee. Обеспечивает безопасность водителя в автомобиле.","Przednie lewe drzwi od M1025 Humvee. Dzięki nim kierowca będzie bezpieczny.","Front left door of the M1025 Humvee. Keeps the driver safe inside the vehicle.","La portiera anteriore sinistra dell’M1025 Humvee. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del M1025 Humvee. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour M1025 Humvee. Protège le conducteur.","M1025 Humvee 的左前門，保持駕駛員在車內的安全。","M1025 Humvee の左前のドア。運転席の人も安全に乗れる。","Porta dianteira esquerda do M1025 Humvee. Mantém o motorista seguro dentro do veículo.","M1025 Humvee 的左前车门，可确保车内驾驶员的安全。",
"STR_real_Offroad_02_Door_2_10","M1025 Humvee Front Right Door","M1025 Humvee Front Right Door","Pravé přední dveře M1025 Humvee","M1025 Humvee Tür vorne rechts","Передняя правая дверь M1025 Humvee","Przednie prawe drzwi od M1025 Humvee","M1025 Humvee Front Right Door","Portiera anteriore destra M1025 Humvee","Puerta derecha delantera de M1025 Humvee","Portière AVD de M1025 Humvee","M1025 Humvee 右前門","M1025 Humvee 右前のドア","Porta dianteira direita M1025 Humvee","M1025 Humvee 右前车门",
"STR_real_Offroad_02_Door_2_11","Front right door of the M1025 Humvee. Keeps the co-driver safe inside the vehicle.","Front right door of the M1025 Humvee. Keeps the co-driver safe inside the vehicle.","Pravé přední dveře vozidla M1025 Humvee. Chrání spolujezdce vepředu.","Rechte Vordertür des M1025 Humvee. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь M1025 Humvee. Обеспечивает безопасность пассажира в автомобиле.","Przednie prawe drzwi od M1025 Humvee. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the M1025 Humvee. Keeps the co-driver safe inside the vehicle.","La portiera anteriore destra dell’M1025 Humvee. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera del M1025 Humvee. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour M1025 Humvee. Protège le passager avant.","M1025 Humvee 的右前門，保持副駕駛在車內的安全。","M1025 Humvee の右前のドア。助手席の人も安全に乗れる。","Porta direita do M1025 Humvee. Mantém o copiloto seguro dentro do veículo.","M1025 Humvee 的右前车门，可确保车内副驾驶员的安全。",
"STR_real_Offroad_02_Door_1_20","M1025 Humvee Rear Left Door","M1025 Humvee Rear Left Door","Levé zadní dveře M1025 Humvee","M1025 Humvee Tür hinten links","Задняя левая дверь M1025 Humvee","Tyle lewe drzwi od M1025 Humvee","M1025 Humvee Rear Left Door","Portiera posteriore sinistra M1025 Humvee","Puerta izquierda trasera de M1025 Humvee","Portière ARG de M1025 Humvee","M1025 Humvee 左後門","M1025 Humvee 左後ろのドア","Porta traseira esquerda M1025 Humvee","M1025 Humvee 左后车门",
"STR_real_Offroad_02_Door_1_21","Rear left door of the M1025 Humvee. Keeps the passenger in the backseat safe inside the vehicle.","Rear left door of the M1025 Humvee. Keeps the passenger in the backseat safe inside the vehicle.","Levé zadní dveře vozidla M1025 Humvee. Chrání cestujícího na zadním sedadle.","Linke Hintertür des M1025 Humvee. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя левая дверь M1025 Humvee. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne lewe drzwi od M1025 Humvee. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear left door of the M1025 Humvee. Keeps the passenger in the backseat safe inside the vehicle.","La portiera posteriore sinistra dell’M1025 Humvee. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta izquierda trasera del M1025 Humvee. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière gauche pour M1025 Humvee. Protège le passager arrière à gauche.","M1025 Humvee 的左後門，保持後座乘客在車內的安全。","M1025 Humvee の左後ろのドア。後部席の人も安全に乗れる。","Porta traseira esquerda do M1025 Humvee. Mantém o passageiro no banco de trás seguro dentro do veículo.","M1025 Humvee 的左后车门，可确保车内后座乘客的安全。",
"STR_real_Offroad_02_Door_2_20","M1025 Humvee Rear Right Door","M1025 Humvee Rear Right Door","Pravé zadní dveře M1025 Humvee","M1025 Humvee Tür hinten rechts","Задняя правая дверь M1025 Humvee","Tyle prawe drzwi od M1025 Humvee","M1025 Humvee Rear Right Door","Portiera posteriore destra M1025 Humvee","Puerta derecha trasera de M1025 Humvee","Portière ARD de M1025 Humvee","M1025 Humvee 右後門","M1025 Humvee 右後ろのドア","Porta traseira direita M1025 Humvee","M1025 Humvee 右后车门",
"STR_real_Offroad_02_Door_2_21","Rear right door of the M1025 Humvee. Keeps the passenger in the backseat safe inside the vehicle.","Rear right door of the M1025 Humvee. Keeps the passenger in the backseat safe inside the vehicle.","Pravé zadní dveře vozidla M1025 Humvee. Chrání cestujícího na zadním sedadle.","Rechte Hintertür des M1025 Humvee. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя правая дверь M1025 Humvee. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od M1025 Humvee. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the M1025 Humvee. Keeps the passenger in the backseat safe inside the vehicle.","La portiera posteriore destra dell’M1025 Humvee. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera del M1025 Humvee. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour M1025 Humvee. Protège le passager arrière à droite.","M1025 Humvee 的右後門，保持後座乘客在車內的安全。","M1025 Humvee の右後ろのドア。後部席の人も安全に乗れる。","Porta traseira direita do M1025 Humvee. Mantém o passageiro no banco de trás seguro dentro do veículo.","M1025 Humvee 的右后车门，可确保车内后座乘客的安全。",
"STR_real_Offroad_02_Hood0","M1025 Humvee Hood","M1025 Humvee Hood","Kapota M1025 Humvee","M1025 Humvee Motorhaube","Капот M1025 Humvee","Maska M1025 Humvee","M1025 Humvee Hood","Cofano M1025 Humvee","Capó de M1025 Humvee","Capot de M1025 Humvee","M1025 Humvee 車蓋","M1025 Humvee ボンネット","Capô M1025 Humvee","M1025 Humvee 发动机罩",
"STR_real_Offroad_02_Hood1","Hood of the M1025 Humvee. Helps protect the engine and other sensitive car parts.","Hood of the M1025 Humvee. Helps protect the engine and other sensitive car parts.","Kapota vozidla M1025 Humvee. Chrání motor a další citlivé součástky auta.","Motorhaube des M1025 Humvee. Schützt den Motor und andere empfindliche Wagenteile.","Капот M1025 Humvee. Помогает защитить двигатель и другие важные детали автомобиля.","Maska od M1025 Humvee. Chroni silnik i inne delikatne części samochodu.","Hood of the M1025 Humvee. Helps protect the engine and other sensitive car parts.","Il cofano dell’M1025 Humvee. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Capó del M1025 Humvee. Ayuda a proteger el motor y otras partes importantes del coche.","Un capot pour M1025 Humvee. Protège le moteur et les pièces essentielles du véhicule.","M1025 Humvee 的車蓋，保護引擎與其他脆弱零件。","M1025 Humvee のボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。","Capô do M1025 Humvee. Ajuda a proteger o motor e outras peças sensíveis do carro.","M1025 Humvee 的发动机罩，可帮助保护发动机和其他敏感的汽车部件。",
"STR_real_Offroad_02_Trunk0","M1025 Humvee Trunk Door","M1025 Humvee Trunk Door","Dveře od kufru M1025 Humvee","M1025 Humvee Hecktür","Крышка багажника M1025 Humvee","Klapa bagażnika M1025 Humvee","M1025 Humvee Trunk Door","Portellone posteriore M1025 Humvee","Puerta del maletero de M1025 Humvee","Hayon de M1025 Humvee","M1025 Humvee 行李箱門","M1025 Humvee トランクドア","Tampa porta-malas M1025 Humvee","M1025 Humvee 后备箱门",
"STR_real_Offroad_02_Trunk1","Trunk door of the M1025 Humvee. It's used to secure the contents of the trunk.","Trunk door of the M1025 Humvee. It's used to secure the contents of the trunk.","Dveře od kufru vozidla M1025 Humvee. Slouží k zajištění obsahu kufru.","Hecktür des M1025 Humvee. Schützt den Inhalt des Kofferraums.","Крышка багажника M1025 Humvee. Не дает содержимому багажника выпасть.","Klapa bagażnika od M1025 Humvee. Zabezpiecza zawartość bagażnika.","Trunk door of the M1025 Humvee. It's used to secure the contents of the trunk.","Il portellone posteriore dell’M1025 Humvee. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero del M1025 Humvee. Sirve para proteger el contenido del maletero.","Un hayon pour M1025 Humvee. Permet de fermer le coffre et d'en protéger le contenu.","M1025 Humvee 的行李箱門，保護行李箱內物品的安全。","M1025 Humvee のトランクのドア。トランクに入れた物が飛び出さないように使用される。","Tampa de porta-malas M1025 Humvee. Serve para proteger o conteúdo do porta-malas.","M1025 Humvee 的后备箱门，用于保护后备箱内的物品。",
